linkedin_url,headline,City,State,Country,Job_Title,Employer,Grad_Year,Degree,Degree_Program,Degree_Major,Index,field_of_study,education_start_year,education_end_year,current_job_title,current_job_description,current_company_name,current_company_url,current_job_industry,current_job_country,current_job_location,current_job_start_date,previous_job_title,previous_job_description,previous_company_name,total_experience_years,Skills,total_experience_count
external_validation_index_55,"Marketing Manager II, Partner Marketing",Unknown,Unknown,Unknown,"Digital Marketing Specialist, Partner Marketing",Amazon Web Services (AWS),2019,BS in Business Administration,Business Administration: Marketing (BSBA),Business Administration,55,"Bachelor of Science - BS, Business, Management, Marketing, and Related Support Services",0,0,"Marketing Manager II, Partner Marketing","• Launch global marketing campaigns and online events via email, social, marketing automation, and web channels in collaboration with Product and Partner Marketing teams
• Co-created and now manage the AWS Partners LinkedIn account, organically growing social audience from 0 to 43,000+ followers (+100% growth in 2023 and 2022)
• Manage editorial planning and intake email and social requests from internal teams involving integrated campaigns, events, promotions, news, and educational content
• Published 200+ posts in FY'24 on the AWS Partner Twitter and Linkedin social accounts, optimizing the editorial calendar and post copy/graphics/timing/frequency to increase average engagement rate by 18% YOY
• Lead creation and execution of social campaigns on the main AWS and Amazon social channels (Instagram, Facebook, Twitter, Linkedin)
• Lead team's social boosting initiatives by tracking boosting budget optimizing paid metrics
• Manage cross-functional relationships with central AWS teams including social media, branding, design, email marketing, and web teams for best practices
• Analyze performance metrics and KPIs (awareness metrics, lead flow, MALs, SQLS, etc) using Salesforce, Tableau, Marketo, and Sprinklr and communicate results to key stakeholders and leadership",Amazon Web Services (AWS),http://aws.amazon.com,IT Services and IT Consulting,United States,"Phoenix, Arizona, United States",2022-01-01T00:00:00Z,Social Media & Marketing Specialist,"• Provided digital marketing strategy consultation, project management, and digital execution support to key internal stakeholders
• Led team's organic social execution by managing relations with creative agency and implementing best practices for branding, design, copy, and reporting
• Led to-customer email and landing page AB testing to optimize digital performance metrics
• QAed and reviewed 100+ social media posts, to-customer emails, and landing pages prior to deployment 
• Built marketing automation emails, landing pages, social posts, and other digital assets as a Marketo Certified Expert (MCE)",Amazon Web Services (AWS),8.9,"Sprinklr, Creative Strategy, Product Marketing, Content Marketing, Business Strategy, Data Analysis, Writing, Direct Marketing, Presentations, Event Marketing, Graphic Design, Copywriting, User Interface Prototyping, Figma (Software), Market Research, Content Management, Recruiting, Event Planning, Interviewing, Salesforce.com",9
external_validation_index_56,Project Manager,Annapolis,Maryland,United States,Project Engineer,"Harkins Builders, Inc.",2020,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,56,Master of Business Administration - MBA,2018,2020,Project Manager,NA,PURIS,https://puriscorp.com,Utilities,United States,"Hyattsville, Maryland, United States",2025-05-01T00:00:00Z,Project Engineer,NA,"Harkins Builders, Inc.",13.8,"Crisis Communications, IT Management, Project Planning, Analytical Skills, Strategic Communications, Construction, Sales, Decision-Making, Acquisitions, Microsoft Excel, Project Engineering, Construction Management, Real Estate, Military Communications, Gas Turbines, Quality Assurance, Research, Information Technology, Cybersecurity, Microsoft PowerPoint",6
external_validation_index_57,Strategic Deal Development & Financing Specialist,Washington,District of Columbia,United States,Associate,Secretariat,2019,BS in Business Administration,Business Administration: Self-Designed (BSBA),Unknown,57,"Bachelor of Science - BS, Economics",2016,2019,Strategic Deal Development & Financing Specialist,"As a key member of Redaptive’s sales enablement team, I partner with Sales, Commercial Product, Pre-Construction, and Engineering teams to drive successful customer pursuits. I lead the development of customer-facing materials, business cases, and cash flow models that support deal strategy and closure across a range of energy-as-a-service solutions.",Redaptive,http://www.redaptive.com,Financial Services,United States,NA,2024-12-01T00:00:00Z,Manager,"I manage teams of associates through investment analysis and report writing in the context of international arbitration disputes. I conduct analysis through financial modeling including discounted cash flows, market multiples, and RoE analysis. I also play an active role in client communication and am comfortable explaining complex valuation concepts in simple language. 

Secretariat is a leading independent expert services and litigation consulting firm serving a wide range of clients and industries globally. Driven by the firm’s spirit of “Experience Above All,” our people and capabilities are distinct by nature. Our credentials and expertise help us stand out as thought leaders in the sectors we serve. Quality, integrity, and independence are woven into every aspect of our work. But, most importantly, when the stakes are high, we thrive on working through the most daunting problems in ways that remove uncertainty and instill confidence. 

Headquartered in Atlanta with offices in the world’s key financial and arbitration centers, we are proud to have earned several distinctions that showcase the quality and expertise of our people, including the number two ranking in Global Arbitration Review’s prestigious GAR 100 Expert Witness Firms' Power Index in 2020 and “A Best Firms to Work For” from Consulting magazine in 2019. 

Secretariat. Experience Above All.",Secretariat,8.9,"Strategic Thinking, Bloomberg, Due Diligence, Valuation, Financial Modeling, Thomson Reuters Eikon, Bloomberg Terminal, Microsoft Office, Microsoft Excel, Research, Microsoft PowerPoint, Stata, Microsoft SQL Server",11
external_validation_index_58,Senior Brands Analyst,Columbus,Ohio,United States,Brands Analyst,Morning Consult,2019,BS in Business Administration,Business Administration: Finance (BSBA),Business Administration,58,"(Honors Cohort), Finance",2016,2019,Senior Brands Analyst,"• Cover consumption, in all its forms, through the lens of public opinion

• Mine Morning Consult's custom and syndicated datasets to pitch and write short and long-form analyses and news articles, often supported by interviews with expert sources; content provides a business decision-maker audience with exclusive insight into pressing consumer and cultural trends

• Draft and analyze proprietary consumer surveys using SQL; produce research notes and data visualizations

• Author “Morning Consult Brands” and “From A to Gen Z”, email newsletters sent to 11,000+ professionals on a weekly basis

• Work and commentary is regularly featured by dozens of prominent outlets and programs, including NBC News, Fox News, The Wall Street Journal, The Washington Post, The New York Times, CNBC, Business Insider, Rolling Stone, NPR News, Ad Age and The Hollywood Reporter",Morning Consult,http://www.morningconsult.com,Data Infrastructure and Analytics,United States,NA,2025-07-01T00:00:00Z,Brands Analyst,NA,Morning Consult,11.3,"Interpersonal Skills, Sports Media, Production Processes, Editorial, Research Methods, TV Production, Football, Attention to Detail, Editing, Reputation Management, Framing, Business Journalism, Writing, Story, Finance, Analytical Skills, Research Skills, SQL, Data Visualization, Technical Proficiency",17
external_validation_index_59,Lead Client Solutions Manager,Leonardo,New Jersey,United States,Lead Client Solutions Manager,LinkedIn,2019,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_60,Client Service Partner,New Carrollton,Maryland,United States,Product Analyst - Tax Support Specialist,Bloomberg Industry,2019,BS in Business Administration,Business Administration: Accounting (BSBA),Business Administration,60,"Master of Science in Taxation (MST), Taxation",2023,2024,Client Service Partner,NA,Bloomberg Industry Group,https://www.bloombergindustry.com/,Software Development,United States,NA,2025-10-01T00:00:00Z,Tax Technical Specialist,"• Train clients and resolve complex questions on tax and accounting programs such as Income Tax Planner (IRS Form 1040), Fixed Assets (IRS Regulation 946), Estate and Gift Tax Products (706 and 709 software) and more, to increase product knowledge and knowledge of current tax regulations 
• Facilitate meetings between project management and product development teams to address client issues and suggest resolutions to update products with the most current tax data and maintain positive brand reputation 
• Assist in the full life cycle of onboarding candidates for open positions on the team and train new hires on various tax software and computer applications",Bloomberg Industry Group,8.9,"Budgeting & Forecasting, Customer Service Operations, Auditing, Finance, Accounts Payable (AP), Financial Planning and Analysis (FP&A), Business Planning, Technical Accounting, External Audits, Big Four Accounting Firms, Budgeting, Presentations, Financial Planning, Financial Modeling, Cash Flow, General Ledgers, System Solutions, Software Updates, ERP Software, Financial Management",14
external_validation_index_61,Manager,Artarmon,Unknown,Australia,Unknown,Unknown,2019,Bachelor of Science,Finance (BS),Finance,61,"Bachelor's degree, Finance, General",2016,2019,Manager,NA,EY,http://www.ey.com,Professional Services,United States,United States,2025-08-01T00:00:00Z,Senior Consultant,NA,EY,10.4,"Management, Time Management, Training, Business Strategy, Financial Analysis, Microsoft Office, Strategic Planning, Project Management, Finance, Microsoft Excel",8
external_validation_index_62,Mental Health Counselor / Futures Planning Provider / Therapeutic Mentor,Trumbull,Connecticut,United States,Futures Planning Provider,Causeway Collaborative,2020,Bachelor of Science,Finance (BS),Finance,62,"Master of Science, Mental Health Counseling/Counselor",2023,2025,Mental Health Counselor / Futures Planning Provider / Therapeutic Mentor,"- Causeway Collaborative is get-your-life-back-on-track counseling for young men 16 -30 who need expert guidance to move forward and find their purpose.
- Provide academic and career support, in addition to existential exploration. Provide community based ADLs, health and wellness, and interpersonal and social support. Collaborate with team to
provide the necessary support, including weekly squad and clinical case management
- Participate in monthly trainings with team including: Diversity and Inclusion, Family Therapy and
Systems, Futures and Therapeutic Mentorship, Exquisite Service trainings",Causeway Collaborative,http://www.CausewayCollaborative.com,Mental Health Care,United States,"Westport, Connecticut, United States",2022-09-01T00:00:00Z,Founder,"https://buckmancoachingandcounseling.clientsecure.me
- Professional Counseling and Coaching for Emerging Adults, Professionals, and Adolescents
https://www.thorne.com/u/buckmansupplements
- Contact me for Thorne Supplement Discounts",Buckman Coaching and Counseling,8.3,"Psychological First Aid, Adult CPR, Pediatric CPR, Adult First Aid, Pediatric First Aid, Adult AED, Pediatric AED, Behavioral Finance, Alternative Investment, Anti-Defemation League training, Budgeting, Data Analysis, Financial Analysis, Financial Modeling, Financial Statements, Research, Cash Flow, General Ledger, Microsoft Office, Microsoft Word",8
external_validation_index_63,Futures Planning Provider,Trumbull,Connecticut,United States,Futures Planning Provider,Causeway Collaborative,2020,Bachelor of Science,Finance (BS),Finance,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_64,Unknown,Ho Chi Minh,Unknown,Vietnam,Unknown,Unknown,2019,Bachelor of Science,Finance (BS),Finance,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_65,Sr. Program Manager,Woodbridge,Virginia,United States,Sr. Program Manager,Amazon,2020,Master of Business Admin,Business Administration (MBA),Business Administration,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_66,Vice President,Waipahu,Hawaii,United States,Business Development Associate,Ascend,2019,Bachelor of Science,Finance (BS),Finance,66,"Master of Science - MS, Finance",0,0,Vice President,NA,Modus,modusalliance.com,Financial Services,United States,"New York, NY",2026-02-01T00:00:00Z,Platform M&A,"Backed by Alpine Investors, a people-driven private equity firm",Ascend,9.8,"Financial Analysis, Finance, Private Equity, Investment Decisions, Transaction Experience, Deal Execution, Transaction Advisory, Growth Strategies, Financial Transactions, Financial Advisory, Due Diligence, Data Analysis, Bloomberg, Microsoft Office, Customer Service, Management, Microsoft Excel, Leadership, Microsoft Word, Microsoft PowerPoint",19
external_validation_index_67,Unknown,South Miami,Florida,United States,Unknown,Unknown,2019,Master of Science,Taxation (MS),Taxation,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_68,Intern Research Analyst,Xianyang,Unknown,China,Intern Research Analyst,Quantum Financial Advisors,2020,Master of Science,Finance (MS),Finance,68,"Master's degree, Finance",2018,2020,Intern Research Analyst,"1. Managed a team of 4 to lead QFA’s expansion into China.
2. Performed research on Bloomberg and pitched research findings and investment ideas to CIO on a weekly basis.
3. Leveraged existing connections and supported company’s business development efforts.
4. Used social media to build relationships with high net worth individuals and business in China.",Quantum Financial Advisors,http://www.qfainc.com/,Financial Services,United States,United States,2020-01-01T00:00:00Z,Consultant Intern,"1. Evaluated data for over 2000 surveys using Excel on personal career planning and development purpose.
2. Collaborated with 4 Fortune 500 companies from educational, real estate, and energy industries to provide solutions and feedback on building teams in financial departments. 
3. Advised and enhanced motivation efficiency of 3000 employees from a Fortune 500 company by 30%.",Ernst & Young Global Consulting Services,2.3,"Stata, Microsoft Office, Bloomberg, Thomson Reuters, Finance, Valuation, Financial Modeling, Quantitative Analytics, Financial Analysis, Equities, Trading, Model United Nations, Communication, Leadership, Teamwork, Piano",3
external_validation_index_69,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2019,Master of Science,Finance (MS),Unknown,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_70,Acquisition Subject Matter Expert,Fairhope,Alabama,United States,Acquisition Subject Matter Expert,MAG Aerospace,2019,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,70,"Master of Business Administration - MBA, Business Administration and Management, General",0,0,Acquisition Subject Matter Expert,NA,"Nexagen Networks, Inc.",http://www.nexagen.com,IT Services and IT Consulting,United States,NA,2024-11-01T00:00:00Z,Operations Officer,"As Operations Officer I am responsible the training, readiness, travel and funding for a team of 40+ Naval personnel deploying in support of Naval Reserve missions in the Indo-Pacific region and worldwide.
- During Fiscal Year 2022 planned, coordinated and executed 43 high priority task orders for detachment servicemembers, allowing the unit to provide 613 days of support to USINDOPACOM Headquarters ensuring critical manning shortfalls were addressed and combatant command needs were appropriately met.",U.S. Navy Reserve,17.4,"Strategic Planning, Software Project Management, Strategic Business Development, Process Improvement, Change Management, Leadership, Logistics Management, Budget Forecasting, Program Management, Operations Management, Personnel Management, Operational Planning, International Relations, Project Management, Aerospace, Team Management, Management, Flight Test, Military Aviation",13
external_validation_index_71,Director - Key Accounts,Unknown,Unknown,Unknown,Director - Key Accounts,Cultivate,2020,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,71,"Master of Business Administration - MBA, Business Analytics",2017,2019,Director - Key Accounts,NA,Cultivate,https://www.cultivatecpg.com,Consumer Goods,United States,Charlotte Metro,2023-04-01T00:00:00Z,National Account Manager,NA,Cultivate,18.4,"Revenue & Profit Growth, New Markets, Field Operations, Nielsen Data, Business Reviews, Market Analysis, Relationship Development, Distributor Management, Merchandising Strategies, Supply Chain Management, Performance Measurement, Inventory Management, Sales Performance, Forecasting, Critical Thinking, Go-to-Market Strategy, Business Planning, Analytical Skills, P&L Management, Business Relationship Management",11
external_validation_index_72,Director - Key Accounts,Unknown,Unknown,Unknown,Director - Key Accounts,Cultivate,2020,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_73,Unknown,Jinan,Unknown,China,Unknown,Unknown,2020,Master of Science,Accounting (MS),Accounting,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_74,Unknown,NA,Unknown,China,Unknown,Unknown,2019,BS in Business Administration,Business Administration: Finance (BSBA),Business Administration,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_75,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2019,Master of Science,Finance (MS),Unknown,75,"Master's degree, Finance",2018,2019,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,Microsoft Excel,0
external_validation_index_76,"Vp, Customer Operations",Arlington,Virginia,United States,"Vp, Customer Operations",Knowland,2020,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_77,Unknown,San Salvador,Unknown,El Salvador,Unknown,Unknown,2019,Bachelor of Science,Finance (BS),Finance,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_78,Unknown,Garnet Valley,Pennsylvania,United States,Unknown,Unknown,2020,Bachelor of Science,Accounting (BS),Accounting,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_79,Unknown,San Jose,Unknown,Costa Rica,Unknown,Unknown,2019,BS in Business Administration,Business Administration: Entreship: Intl Business (BSBA),Business Administration,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_80,Technical Business Analyst II,Troy,Virginia,United States,Engineering Project Manager,ExpLore Learning,2019,Master of Science,Analytics (MS) [Online],Analytics,80,"Master's degree, Business Analytics",2018,2019,Technical Business Analyst II,"• Collaborated with development teams to implement automated data pipelines using Azure Data Factory (ADF), enhancing enterprise workflow efficiency across multiple business units.
• Delivered capacity and efficiency improvements for Regulatory & Intelligence, Marketing, Digital Marketing, and International teams in the EU and Canada by optimizing data operations.
• Partnered with the Data Science team to define and refine a regulatory alert model, enabling early detection of compliance risks through data-driven signals.
• Produced a quarterly policy and trends summary outlining key regulatory developments and current events impacting AI, ML, and data science standards.
• Managed relationships with external data vendors, negotiating and integrating APIs for real-time access to product sales and marketing performance metrics.
• Scoped and vetted technical and business projects, ensuring alignment with strategic goals and feasibility within current infrastructure and resource capacity.
• Facilitated retrospectives and strategy alignment sessions between Business Analysts and Engineering teams to improve collaboration, identify blockers, and drive continuous improvement.
• Developed and maintained comprehensive documentation outlining roles, responsibilities, and escalation paths, promoting clarity and accountability across teams.",Elder Research,https://www.elderresearch.com/,Data Infrastructure and Analytics,United States,"Charlottesville, VA",2024-06-01T00:00:00Z,Engineering Project Manager,"• Coordinates the migration of the flagship product – including its content and 9.1million active users – to our unified product platform which generates 60% of company revenue. 
• Manages the development and launch of the internal customer service tool that maintains the full hierarchy, changes, and records of all platform accounts including their subscriptions, users, and integrations.
• Collaborates with UI/UX teams to define the design strategy and normalize style components to ensure the product site is intuitive, accessible, and inclusive. 
• Leads SCRUM ceremonies and prioritizes tasks for three frontend and five backend developers to address product improvements, features, and performance. 
• Translates technical processes and features to cross functional teams during monthly steering meetings.",ExploreLearning,5.3,"Delivery Manager, Automated Processes, Figma (Software), Canva, Product Design, Content Management, Learning Management, Software as a Service (SaaS), Product Strategy, User Stories, Customer Presentations, Product Management, Communication, R, Tableau, Salesforce Lightning, User Experience Design (UED), User Acceptance Testing, Beta Testing, Agile Methodologies",6
external_validation_index_81,"Senior Vice President, Bank Research",Elmhurst,New York,United States,"Vice President, Credit Research",R&T Deposit Solutions,2020,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,81,Master of Business Administration,2016,2020,"Senior Vice President, Bank Research",NA,R&T Deposit Solutions,http://www.rnt.com,Financial Services,United States,"New York, NY",2025-03-01T00:00:00Z,"Vice President, Bank Research",NA,R&T Deposit Solutions,19.7,"Bloomberg, Credit Analysis, Analytics, Asset Management, Mutual Funds, Fixed Income, Microsoft Excel, Microsoft Office",6
external_validation_index_82,"Vice President, Credit Research",Elmhurst,New York,United States,"Vice President, Credit Research",R&T Deposit Solutions,2020,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_83,Project Manager,Silver Spring,Maryland,United States,Project Manager,Actionable Outcomes,2019,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,83,"Master of Business Administration - MBA, Business Analytics",2018,2019,Project Manager,NA,Actionable Outcomes LLC,www.actionableoutcomes.com,IT System Custom Software Development,United States,NA,2024-05-01T00:00:00Z,Director of Technology & Special Projects,"Lead DC Green Bank's IT and cybersecurity operations, ensuring efficient and effective technical support, as well as project management efforts for special organizational projects, facilities, and general operations.

• Implementation of Microsoft Office Suite for quasi-government financial institution
• Implemented network and hardware security protocols
• Performed general and specialized IT support for a team of 14
• Executed data migration and domain change
• Resource and contract management
• Directly managed the procurement process
• Supported the implementation of four vendor services",DC Green Bank,18.9,"Logistics Management, Information Technology, Military, Military Operations, Army, Operations Management, Program Management, Operational Planning, Weapons, Afghanistan, National Security, Military Logistics, Intelligence Analysis, Force Protection, Military Training, Command, Government, Microsoft Office, Leadership, Organizational Leadership",11
external_validation_index_84,Personal Property Tax Compliance Specialist,Ashburn,Virginia,United States,Personal Property Tax Compliance Specialist,Loudoun County Government,2020,Master of Science,Taxation (MS),Taxation,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_85,Unknown,Liuzhou,Unknown,China,Unknown,Unknown,2020,Master of Science,Finance (MS),Finance,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_86,Data Analyst,"Yichang, Hubei 443000",Unknown,China,Data Analyst,Policyengine,2020,Bachelor of Science,Finance (BS),Finance,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_87,Data Analyst,"Yichang, Hubei 443000",Unknown,China,Data Analyst,Policyengine,2020,Bachelor of Science,Finance (BS),Finance,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_88,Teaching Assistant,Wuhan,Unknown,United States,Teaching Assistant,American University,2019,Master of Science,Accounting (MS),Accounting,88,"Master of Science - MS, Accounting",2018,2019,Teaching Assistant,"During my time in this role, I professionally worked with and collaborated within teachers to review and monitor the learning environment to accurately highlight and identify current problems for students. Additionally, I continuously developed and implemented innovative solutions to resolve all student problems within a timely manner. Furthermore, I demonstrated a high level of attention to detail when supporting the professor with tracking attendance and calculating grades, ensured all areas were accurate and up to date. As a Teaching Assistant, I clearly communicated with students and peers to gather crucial feedback on individual progress. Furthermore, I provided crucial support and assistance to the professor when developing engaging lesson plans to encourage students’ academic progression. Additionally, I expertly organised and scheduled exam sittings to meet the needs and requirements of the organisation.",American University,http://american.edu,Higher Education,United States,"Washington, DC",2019-08-01T00:00:00Z,Audit Intern,"As an Auditing Intern, I accurately collated and compiled customer data to ensure all records were maintained and up to date. Furthermore, I demonstrated a high level of attention to detail when reviewing documents, highlighted any discrepancies or areas of concern to senior managers for action. Additionally, I consistently developed and prepared in-depth intuitive reports to clearly communicate organisational areas of growth and decline. In this role, I successfully utilized core skills and knowledge to actively highlight bugs as an assistance when carrying out thorough checks on a balance sheet.",Founder Accounting Firm,3.5,"Microsoft Office, Excel, R, U.S. Generally Accepted Accounting Principles (GAAP), International Financial Reporting Standards (IFRS), Organisation, Problem Solving, Attention to detail, Communication, Teamwork",2
external_validation_index_89,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020,Bachelor of Science,Finance (BS),Finance,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_90,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020,Bachelor of Science,Finance (BS),Finance,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_91,Unknown,Jinhua,Unknown,China,Unknown,Unknown,2020,Master of Science,Finance (MS),Finance,91,NA,2018,2020,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,,0
external_validation_index_92,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2019,Master of Science,Real Estate (MS),Unknown,92,"Master's degree, Real Estate",2018,2019,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,,0
external_validation_index_93,President,Washington,District of Columbia,United States,President,Qesna,2019,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,93,"Master of Business Administration - MBA, Cyber/Electronic Operations",0,0,President,"Create market data analytic models to identify trends, opportunities, strategic direction, and create compelling market analysis presentations for C-suite leadership, which drive EBITDA performance.","QESNA, LLC",http://www.qesna.com,Financial Services,United States,NA,2008-01-01T00:00:00Z,Manager of Marketing & Analytics,NA,Americatel Corporation,23.6,"Financial Modeling, Due Diligence, Financial Reporting, Contract Negotiation, Performance Management, Financial Analysis, Mergers, Forecasting, Corporate Finance, Accounting, Budgeting, Cash Flow, Business Planning, Financial Accounting, Audit, Variance Analysis, General Ledger, Internal Controls, Restructuring, Project Finance",4
external_validation_index_94,Events Executive,East Setauket,New York,United States,North America Event Manager,Brickworks North America,2020,BS in Business Administration,Business Administration: Management: Marketing (BSBA),Business Administration,94,"Bachelor of Business Administration, Business Administration and Management, General",2016,2020,Events Executive,"I am responsible for leading the strategy and execution of Luminance’s global event portfolio, delivering high-impact experiences that strengthen brand positioning and support commercial growth. I oversee all phases of event delivery, from strategic planning and stakeholder alignment to on-site execution and post-event performance analysis, ensuring each initiative aligns with broader business objectives. I manage six-figure event budgets, forecast spend across multiple markets, and allocate resources to maximize ROI while maintaining exceptional execution standards. I collaborate cross-functionally with marketing, sales, and leadership teams to support pipeline development, product positioning, and client engagement through conferences, executive roundtables, industry activations, and flagship events. I build and maintain strategic partnerships with global vendors and venues, negotiate contracts, and implement scalable processes to enhance efficiency, visibility, and consistency across the events function.",Luminance,http://www.luminance.com,Software Development,United States,"New York, NY",2025-12-01T00:00:00Z,North America Event Manager,"I am responsible for planning and executing all design studio events across North America, with a minimum of 9 events per month. I manage all aspects of event planning, including pre-planning, execution, and post-event activities. I determine appropriate staffing and budget levels to stay within given parameters. I organize event logistics by creating a list of exclusive vendors, caterers, photographers, florists, and musicians. I forecast and manage an annual events budget of $1,000,000+ for multiple national properties. I build and maintain strategic partnerships with vendors and local organizations to increase event attendance and impact. I effectively communicate with stakeholders to produce desired results for property launches, conferences, and other events that align with the brand experience.",Brickworks North America,11.8,"Marketing Strategy, Digital Marketing, Content Development, Email Marketing, Conference Management, Conference Coordination, Conference Production, Client Relations, Client Liaison, Business Development, Corporate Events, Budget Management, Event Marketing, Communication, Collaboration, Time Management, Teamwork, Leadership, Decision-Making, Performance Motivation",16
external_validation_index_95,Unknown,Wangthonglang,Unknown,Thailand,Unknown,Unknown,2020,Master of Science,Finance (MS),Finance,95,"Master of Science - MS, Finance, General",2018,2020,NA,NA,NA,NA,NA,Thailand,NA,NA,NA,NA,NA,NA,,0
external_validation_index_96,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020,BS in Business Administration,Business Administration: Finance (BSBA),Business Administration,96,"undergraduate, Finance, General",2017,2020,NA,NA,NA,NA,NA,United States,NA,NA,NA,NA,NA,NA,,0
external_validation_index_97,"VP, Industry Coverage",Wilmington,Delaware,United States,Commercial Manager,"H Cycle, LLC",2019,BS in Business Administration,Business Administration: Finance (BSBA),Business Administration,97,"Bachelor's degree, Business Administration, Finance",0,0,"VP, Industry Coverage",NA,Crux,www.cruxclimate.com,Financial Services,United States,"Los Angeles, California, United States",2026-02-01T00:00:00Z,"Senior Manager, Industry Coverage",NA,Crux,6.8,"Financial Modeling, Private Equity, Asset Management, Financial Analysis, Financial Reporting, Solar Energy, Generally Accepted Accounting Principles (GAAP), International Financial Reporting Standards (IFRS), Budgeting, Data Management, Audit, Risk Analysis, Corporate Finance, Bank Reconciliation, Risk Management, Variance Analysis, General Ledger Accounting, Journal Entries, Microsoft Excel, Bloomberg Terminal",6
external_validation_index_98,2nd Vice President,Glen Ellyn,Illinois,United States,2nd VP,Northern Trust Securities,2020,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,98,Master of Business Administration - MBA,2016,2018,2nd Vice President,NA,"Northern Trust Securities, Inc.",NA,Investment Banking,United States,"Chicago, Illinois, United States",2022-09-01T00:00:00Z,2nd Vice President - Fund of Hedge Fund,NA,Northern Trust Corporation,26.9,"Teamwork, Options, Word, Excel, PowerPoint, Microsoft Office, Risk Management, Investments, Problem Solving, Management",13
